continent,location,date,population,rolling_people_vaccinated,rolling_people_vaccinated_percentage
Asia,India,2021-03-24,1380004385,53145709,3.85
North America,United States,2021-02-14,331002647,52884356,15.98
Asia,China,2021-02-28,1439323774,52520000,3.65
Asia,India,2021-03-23,1380004385,50841286,3.68
North America,United States,2021-02-13,331002647,50641884,15.30
Europe,United Kingdom,2021-04-29,67886004,48748962,71.81
Asia,India,2021-03-22,1380004385,48494594,3.51
North America,United States,2021-02-12,331002647,48410558,14.63
Europe,United Kingdom,2021-04-28,67886004,48138009,70.91
Europe,United Kingdom,2021-04-27,67886004,47540984,70.03
Europe,United Kingdom,2021-04-26,67886004,47045391,69.30
Europe,United Kingdom,2021-04-25,67886004,46650008,68.72
North America,United States,2021-02-11,331002647,46390270,14.02
Europe,United Kingdom,2021-04-24,67886004,46309512,68.22
Europe,United Kingdom,2021-04-23,67886004,45613109,67.19
Asia,India,2021-03-21,1380004385,45065998,3.27
Europe,United Kingdom,2021-04-22,67886004,45012308,66.31
North America,United States,2021-02-10,331002647,44769970,13.53
Asia,India,2021-03-20,1380004385,44603841,3.23
Europe,United Kingdom,2021-04-21,67886004,44450252,65.48
Europe,United Kingdom,2021-04-20,67886004,43915559,64.69
Europe,United Kingdom,2021-04-19,67886004,43457910,64.02
North America,United States,2021-02-09,331002647,43206190,13.05
Europe,United Kingdom,2021-04-18,67886004,43084487,63.47
Europe,United Kingdom,2021-04-17,67886004,42780069,63.02
South America,Brazil,2021-04-30,212559409,42698862,20.09
North America,United States,2021-02-08,331002647,42417617,12.81
Europe,United Kingdom,2021-04-16,67886004,42140989,62.08
Asia,India,2021-03-19,1380004385,42063392,3.05
South America,Brazil,2021-04-29,212559409,41989957,19.75
Europe,United Kingdom,2021-04-15,67886004,41505768,61.14
North America,United States,2021-02-07,331002647,41210937,12.45
South America,Brazil,2021-04-28,212559409,41003659,19.29
Europe,United Kingdom,2021-04-14,67886004,40958303,60.33
Asia,China,2021-02-09,1439323774,40520000,2.82
Europe,United Kingdom,2021-04-13,67886004,40496685,59.65
South America,Brazil,2021-04-27,212559409,40168799,18.90
Europe,United Kingdom,2021-04-12,67886004,40107877,59.08
Europe,United Kingdom,2021-04-11,67886004,39846781,58.70
Europe,United Kingdom,2021-04-10,67886004,39587893,58.32
Asia,India,2021-03-18,1380004385,39339817,2.85
North America,United States,2021-02-06,331002647,39037964,11.79
Europe,United Kingdom,2021-04-09,67886004,39001554,57.45
South America,Brazil,2021-04-26,212559409,38986878,18.34
Europe,United Kingdom,2021-04-08,67886004,38444540,56.63
South America,Brazil,2021-04-25,212559409,38027113,17.89
Europe,United Kingdom,2021-04-07,67886004,37899029,55.83
South America,Brazil,2021-04-24,212559409,37730651,17.75
Europe,United Kingdom,2021-04-06,67886004,37391103,55.08
Asia,India,2021-03-17,1380004385,37143255,2.69
Europe,United Kingdom,2021-04-05,67886004,37119083,54.68
South America,Brazil,2021-04-23,212559409,37112833,17.46
Europe,United Kingdom,2021-04-04,67886004,37013749,54.52
Europe,United Kingdom,2021-04-03,67886004,36917986,54.38
North America,United States,2021-02-05,331002647,36819212,11.12
Europe,United Kingdom,2021-04-02,67886004,36631187,53.96
Europe,United Kingdom,2021-04-01,67886004,36277136,53.44
Europe,United Kingdom,2021-03-31,67886004,35660902,52.53
North America,United States,2021-02-04,331002647,35203710,10.64
Asia,India,2021-03-16,1380004385,35064536,2.54
Europe,United Kingdom,2021-03-30,67886004,35033894,51.61
South America,Brazil,2021-04-22,212559409,35024957,16.48
Europe,United Kingdom,2021-03-29,67886004,34530295,50.87
Europe,United Kingdom,2021-03-28,67886004,34125256,50.27
South America,Brazil,2021-04-21,212559409,34058640,16.02
North America,United States,2021-02-03,331002647,33878254,10.24
South America,Brazil,2021-04-20,212559409,33807132,15.90
South America,Brazil,2021-04-19,212559409,33755229,15.88
Europe,United Kingdom,2021-03-27,67886004,33684114,49.62
Europe,United Kingdom,2021-03-26,67886004,33020952,48.64
Asia,India,2021-03-15,1380004385,32947432,2.39
South America,Brazil,2021-04-18,212559409,32947066,15.50
North America,United States,2021-02-02,331002647,32780860,9.90
Europe,United Kingdom,2021-03-25,67886004,32325993,47.62
North America,United States,2021-02-01,331002647,32222402,9.73
Europe,United Kingdom,2021-03-24,67886004,31766669,46.79
South America,Brazil,2021-04-14,212559409,31703967,14.92
Asia,China,2021-02-03,1439323774,31200000,2.17
Europe,United Kingdom,2021-03-23,67886004,31186362,45.94
North America,United States,2021-01-31,331002647,31123299,9.40
South America,Brazil,2021-04-13,212559409,30801723,14.49
Europe,United Kingdom,2021-03-22,67886004,30691557,45.21
Europe,United Kingdom,2021-03-21,67886004,30279360,44.60
Asia,India,2021-03-14,1380004385,29908038,2.17
Europe,United Kingdom,2021-03-20,67886004,29859742,43.99
